Mean Temperature Observations for Sacramento-Delta (Climate Region) (Period: 12-month periods ending in December)
Year,Mean_Temperature_deg_F,Running_Mean
1895,58.9680532538135,
1896,59.79870959749101,
1897,58.755287765694504,
1898,58.87449094596949,
1899,59.14436517701151,
1900,59.727911631246506,59.30173572032695
1901,59.4569244746435,59.43922154124446
1902,58.700502264926,59.423258412749824
1903,59.01869524560801,59.477147762787496
1904,60.07530967066851,59.513721882952865
1905,59.79884289652401,59.581112950481
1906,60.48039728390601,59.425970990255685
1907,59.62311518405,59.35229768468491
1908,59.34807061610899,59.46799227425027
1909,59.27680626778851,59.54332446336773
1910,59.885666919821,59.509992480284275
1911,58.021350068767994,59.407738292914594
1912,58.646518113365005,59.346632381123
1913,59.973142750145,59.34212767736751
1914,59.847349325900005,59.304371977862004
1915,59.7086578567505,59.27397033749232
1916,58.67404683545751,59.28599677177837
1917,59.80823225419851,59.35482823981128
1918,59.5735634427395,59.40995880210296
1919,58.9327579215485,59.36360889860928
1920,58.942388223722,59.31944990933941
1921,60.01795769696751,59.45612280161463
1922,58.778496217130005,59.529384678881
1923,59.25295429857349,59.54768102619473
1924,59.4632938117145,59.568619127176184
1925,59.3616004439315,59.627333594640504
1926,61.212059671778,59.83840287522159
1927,59.47992748538752,59.84524024917691
1928,60.0094920746495,59.923290235286274
1929,59.80388255353551,60.17503467457522
1930,59.578617063656,60.173563443888355
1931,61.264150310114,60.35874996658537
1932,60.093168810475994,60.2503243281601
1933,59.63704606433299,60.29126768276341
1934,62.02214313075199,60.38591067161804
1935,59.447110274159,60.53426946801392
1936,61.3986521935985,60.625559292695556
1937,60.019377649099994,60.47280774677886
1938,59.930304386024005,60.50864649250236
1939,61.0505649520505,60.50235066062967
1940,61.435829313890004,60.33127722683982
1941,60.582805135154,60.29114199568809
1942,59.5838833050305,60.171334628528946
1943,60.48739501343451,60.02648444979718
1944,59.56779191373351,59.96438825296291
1945,60.1403353590635,59.95481327377961
1946,59.00562273149001,59.808353336922096
1947,60.080771154848,59.734625685985996
1948,58.426025683050504,59.76312688756864
1949,59.247246220846996,59.67234938937568
1950,60.945240181033995,59.62812091587281
1951,59.8247700084575,59.57781958862777
1952,59.771800974857,59.67401002491063
1953,59.89739652243949,59.82759667668227
1954,59.48884253331201,60.12158987863427
1955,59.081278705202,60.2495880934895
1956,59.58702075936801,60.180945378726626
1957,60.0637175306015,60.14462472581695
1958,61.77022432433599,60.058450701512406
1959,61.659950904522496,60.00935632542349
1960,60.6552265842545,59.968330987697136
1961,60.190170318642494,60.10226009187732
1962,59.42524282645101,60.14443374052687
1963,58.82388670750699,60.16189130593563
1964,59.35735838546149,60.01551088066087
1965,59.037563818322006,59.93988382075115
1966,60.554498851183986,59.777888182196826
1967,60.05093089451301,59.72798376045487
1968,60.255750750098,59.80954071593108
1969,60.1600396463135,59.94200792908344
1970,60.8280532455155,59.90571044919596
1971,58.873274560157,60.03952856127214
1972,59.64122167948099,60.05486257097355
1973,60.3223693366895,60.12774491786885
1974,60.281026052182995,60.17705928993485
1975,58.958086106699,60.19737496564264
1976,60.50956305116,60.281931749830854
1977,60.7231729578995,60.288581639204956
1978,60.8526367103615,60.37746528955631
1979,60.798208842824,60.46767083077195
1980,60.383512079099,60.4149788167055
1981,61.75817787158599,60.64640012939205
1982,58.94642334327201,60.70870797939827
1983,60.61894183334601,60.80529905920918
1984,61.3146302900615,60.74738083649641
1985,59.701413897452,60.75459736393523
1986,61.503720546250996,60.81593147637105
1987,61.194949401228506,60.86681145382863
1988,61.7856748358195,61.05651980944019
1989,60.215536260521,61.032715498503514
1990,60.877590644651,61.08648678209832
1991,61.058187315893,61.354416780478594
1992,62.317857623619496,61.46121831051227
1993,61.033215254999014,61.34244891380042
1994,60.357094413042496,61.20925254079754
1995,61.906114409604506,61.28953185966636
1996,62.64864387963499,61.39006539938095
1997,62.6785373766215,61.406565021303365
1998,59.888486037397996,61.360844477624
1999,60.320514732788006,61.41405183845463
2000,61.098608768078,61.524257619078504
2001,61.983459581511504,61.47595265593919
2002,61.23968315703949,61.364145906854816
2003,61.8149316431465,61.26539755631395
2004,61.618496224136,61.40215424989808
2005,61.569357999905,61.40503498247313
2006,61.374759815072004,61.28308640975559
2007,61.418769639707,61.23488104108686
2008,61.592305520672,61.24389961412626
2009,61.39280966682349,61.417171483152494
2010,60.35220279111349,61.50657355908731
2011,59.75717446818499,61.54598389286095
2012,61.453200526155506,61.614006407170876
2013,61.33888746047301,61.61860325926531
2014,63.720922202435,
2015,62.601919059419,
2016,62.002871671414994,
2017,62.12300747248127,
2018,61.46933501274563,
